Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,tag
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,0.4422999597909127,10244.813680000003,10265.071600000003,39.94632,2.4481368000000296,108.39400264041588,8.771252290505082,3.6697294418095017,7.507021773211497,2.390163206740407,inf,15.150694708732697,1.9188788163070658,0.004882723866639688,-0.5789339999999754,-0.3978296280201188,38 days 10:00:00,9 days 17:00:00,1,100.0,2.4868824282318633,2.4868824282318633,2.4868824282318736,0 days 10:00:00,0 days 10:00:00,,2.4868824282318633,,,ButterflyStrategy_9p,ETHUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,0.6835544833132288,10451.848780000002,10451.848780000002,40.36122,4.51848780000002,108.39400264041588,16.605472383618824,7.150038988464141,14.140993992853224,2.322431025958049,inf,25.40966526650258,3.823846347719499,0.006408486035753393,-0.6535100800997062,-0.5118701322175095,0 days 04:00:00,0 days 03:00:00,1,100.0,4.590000000000004,4.590000000000004,4.590000000000005,0 days 16:00:00,0 days 16:00:00,,4.590000000000004,,,ButterflyStrategy_26p,ETHUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,40.24929634097306,5406.941777477011,10230.319380297002,3075.0268494230004,-45.93058222522989,43.36966925873792,-88.20523699915617,2.6908859359634385,-84.12290515802596,-32.77925527065322,-3.9368059129330764,-1.8708212788245888,-44.477694795237,-0.0335000809281055,-47.1478692259553,-10.42907117814802,109 days 03:00:00,22 days 23:00:00,99,20.2020202020202,4.610000000000005,-2.4040117682306636,-0.6248393914380035,0 days 10:00:00,0 days 10:00:00,0.24812238879051748,-0.6185334622970374,-4.958346590006611,-0.5593653722230126,TriplePatternStrategy_9p,BTCUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,63.53035786087656,6007.793839169608,10514.807598380003,2716.2089104304,-39.92206160830392,43.36966925873792,-82.98737754826622,5.042035988052608,-78.23630200901628,-16.459100598430783,-3.333907411485882,-1.9360852986768204,-39.47452204911881,-0.010319183125772622,-42.86349243237492,-7.497119310410406,108 days 18:00:00,17 days 07:00:00,80,23.75,4.59001185407238,-2.4040117682306636,-0.6398159657192704,19 days 11:00:00,1 days 01:00:00,0.371139033061157,-0.6274854087962062,-3.275837474960365,-0.36650459085718473,TriplePatternStrategy_26p,BTCUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,0.0,10000.0,10000.0,,0.0,43.36966925873792,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_9p,BTCUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,0.0,10000.0,10000.0,,0.0,43.36966925873792,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_26p,BTCUSDT_1h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,12.021857923497267,9239.978573185996,10470.18033232,426.5442590140001,-7.600214268140043,41.47277510929434,-20.908596227873964,10.181144034188051,-21.08605085713755,-2.0536588184651325,-2.3354393368302198,-1.7239493434880915,-9.954110969816783,0.05675763667787969,-12.128312416401577,-4.456033857581657,100 days,33 days 15:00:00,11,18.181818181818183,4.4256833519572245,-2.890597236680893,-0.722599217658837,1 days 16:00:00,1 days 04:00:00,0.5375384638511614,-0.6916137838270492,-0.9023129260308436,-0.1636096086238697,TriplePatternStrategy_9p,BTCUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,13.661202185792352,8756.472276524597,10473.567896925999,419.6581171754,-12.43527723475403,41.47277510929434,-32.56847137242198,9.678760690522493,-32.8224423666086,-3.3649423117066264,-3.065792847722968,-1.986541064838382,-15.821796471557859,0.08165644155423023,-16.394562362128482,-5.87811717282396,77 days 08:00:00,26 days 02:00:00,11,18.181818181818183,4.763577412953944,-2.890597236680893,-1.210646168433882,2 days 12:00:00,1 days 09:00:00,0.4157132441825294,-1.1741405088563328,-1.3843998116096399,-0.261513463909216,TriplePatternStrategy_26p,BTCUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,0.0,10000.0,10000.0,,0.0,41.47277510929434,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_9p,BTCUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,0.0,10000.0,10000.0,,0.0,41.47277510929434,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_26p,BTCUSDT_4h
